date,product,country,impressions
6/15/2019,Batman,se,1750
6/15/2019,Batman,kz,10
6/15/2019,Batman,aw,1
6/8/2019,Batman,br,131193
6/8/2019,Batman,ch,1472
6/8/2019,Batman,sy,0
6/25/2019,Batman,fi,1387
6/25/2019,Batman,ie,2555
6/25/2019,Batman,pt,162
6/25/2019,Batman,by,7
6/25/2019,Batman,kz,13
6/25/2019,Batman,cn,19
5/3/2019,Batman,co,50391
5/3/2019,Batman,br,169555
5/3/2019,Batman,ar,38933
5/3/2019,Batman,bf,2
5/3/2019,Batman,to,1
6/27/2019,Batman,in,134834
5/13/2019,Batman,is,2
6/10/2019,Batman,my,18421
6/10/2019,Batman,fr,65969
6/10/2019,Batman,mu,26
6/9/2019,Batman,gh,20
5/25/2019,Batman,mx,40924
5/25/2019,Batman,tw,15214
5/25/2019,Batman,gr,38
5/25/2019,Batman,pa,172
6/17/2019,Batman,tr,123
6/17/2019,Batman,tn,2490
6/11/2019,Batman,az,2
6/11/2019,Batman,sl,17
6/11/2019,Batman,ps,0
6/24/2019,Batman,co,24052
6/24/2019,Batman,sg,6818
6/24/2019,Batman,dk,1591
6/24/2019,Batman,ng,102
6/24/2019,Batman,pg,7
6/24/2019,Batman,gg,0
6/24/2019,Batman,vu,2
5/2/2019,Batman,pr,130
5/2/2019,Batman,ke,58
5/2/2019,Batman,om,11
6/16/2019,Batman,mt,29
6/16/2019,Batman,gp,18
6/16/2019,Batman,lk,30
6/16/2019,Batman,gt,44
5/10/2019,Batman,vn,25863
5/10/2019,Batman,pe,23556
5/10/2019,Batman,hu,66
5/10/2019,Batman,mn,19
5/10/2019,Batman,tg,1
5/10/2019,Batman,tc,1
5/10/2019,Batman,ag,1
6/26/2019,Batman,sa,194
6/26/2019,Batman,hn,25
6/26/2019,Batman,om,35
6/26/2019,Batman,ee,17
6/26/2019,Batman,re,0
5/12/2019,Batman,ie,3146
5/12/2019,Batman,pk,46
5/12/2019,Batman,za,79
5/12/2019,Batman,al,16
5/12/2019,Batman,bj,22
5/12/2019,Batman,tl,7
5/9/2019,Batman,mm,12
5/9/2019,Batman,kr,0
5/21/2019,Batman,me,3
5/21/2019,Batman,row,0
5/18/2019,Batman,vn,23310
5/18/2019,Batman,ht,14
5/18/2019,Batman,ne,2
5/16/2019,Batman,ca,36960
5/16/2019,Batman,my,22106
5/16/2019,Batman,ly,0
5/16/2019,Batman,bi,2
5/16/2019,Batman,bz,18
5/16/2019,Batman,gu,6
6/22/2019,Batman,ph,42843
6/22/2019,Batman,hu,110
6/22/2019,Batman,gr,70
6/22/2019,Batman,sl,13
5/26/2019,Batman,no,1826
5/26/2019,Batman,td,1
6/23/2019,Batman,ar,27514
6/23/2019,Batman,no,1526
6/23/2019,Batman,ua,10
6/23/2019,Batman,gp,20
6/23/2019,Batman,am,12
6/1/2019,Batman,vn,20711
6/1/2019,Batman,ao,17
6/1/2019,Batman,sa,86
6/1/2019,Batman,sk,12
6/1/2019,Batman,sm,2
6/1/2019,Batman,ug,12
6/1/2019,Batman,zw,10
5/11/2019,Batman,et,20
5/11/2019,Batman,iq,44
5/11/2019,Batman,si,20
5/11/2019,Batman,ru,0
5/11/2019,Batman,row,0
5/11/2019,Batman,ag,1
5/4/2019,Batman,om,16
5/4/2019,Batman,af,14
5/17/2019,Batman,iq,60
5/17/2019,Batman,bj,6
5/17/2019,Batman,om,14
5/17/2019,Batman,bd,20
5/17/2019,Batman,gl,1
6/3/2019,Batman,cl,16693
6/3/2019,Batman,,0
6/3/2019,Batman,gt,79
6/3/2019,Batman,ug,6
6/3/2019,Batman,tc,6
6/14/2019,Batman,sg,6123
5/31/2019,Batman,cl,16015
5/31/2019,Batman,sg,5909
5/31/2019,Batman,gu,5
6/13/2019,Batman,fr,56942
6/13/2019,Batman,dz,600
7/1/2019,Batman,ke,15
7/1/2019,Batman,bj,12
7/1/2019,Batman,sy,0
7/1/2019,Batman,ap,0
5/24/2019,Batman,za,69
5/24/2019,Batman,kg,2
5/24/2019,Batman,sk,16
5/24/2019,Batman,gf,0
6/7/2019,Batman,do,71
6/7/2019,Batman,jp,432
6/7/2019,Batman,ba,14
6/7/2019,Batman,gq,2
6/7/2019,Batman,mk,0
6/9/2019,Batman,cu,0
5/15/2019,Batman,ph,47332
5/15/2019,Batman,vn,25769
5/15/2019,Batman,nl,7058
5/15/2019,Batman,tr,125
5/15/2019,Batman,at,3973
5/15/2019,Batman,ml,9
6/12/2019,Batman,rw,22
6/12/2019,Batman,ge,2
5/14/2019,Batman,np,61
5/14/2019,Batman,empty_value,0
5/14/2019,Batman,sr,3
6/2/2019,Batman,us,183678
6/2/2019,Batman,gb,53912
6/2/2019,Batman,jo,25
6/2/2019,Batman,si,22
6/5/2019,Batman,,0
6/5/2019,Batman,de,23146
6/5/2019,Batman,ua,11
6/5/2019,Batman,bj,14
6/5/2019,Batman,gn,2
5/22/2019,Batman,af,28
5/22/2019,Batman,gp,11
5/22/2019,Batman,sz,2
5/22/2019,Batman,pw,0
6/28/2019,Batman,be,227
6/28/2019,Batman,cr,6
6/21/2019,Batman,lv,34
6/21/2019,Batman,kr,0
5/23/2019,Batman,ca,36346
5/23/2019,Batman,it,27818
5/23/2019,Batman,qa,43
5/23/2019,Batman,cn,26
5/23/2019,Batman,gy,6
5/23/2019,Batman,mn,15
5/23/2019,Batman,mw,2
5/23/2019,Batman,cg,7
5/23/2019,Batman,vi,0
5/23/2019,Batman,ru,0
5/5/2019,Batman,es,29339
5/5/2019,Batman,ir,0
5/29/2019,Batman,nl,6086
5/29/2019,Batman,at,3336
5/29/2019,Batman,ao,22
5/29/2019,Batman,mk,0
5/8/2019,Batman,sg,15674
